Universitas,Jenis_Program_Studi,Kualitas_Dosen,Kepuasan_Infrastruktur,Keluhan_Fisik,Kendala_Online,Performa_Akademik,Keluhan_Psikis,Kepuasan_Online
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,4,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
